<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-14:08:05</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261572</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3908</WeldTime>
<DistDiff>2.15</DistDiff>
<DistAbs>75</DistAbs>
<Energy>18001</Energy>
<MaxPower>5939</MaxPower>
<CycleTime>8800</CycleTime>
<TrigForce>1028.17</TrigForce>
<TrigDist>72.85</TrigDist>
<RunSpeed>58.2334</RunSpeed>
<MaxForce>3631</MaxForce>
<LossPower>16.1748</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;124.82;1070;0.02
3;122.38;1070;0.03
4;124.82;1078;0.03
5;124.82;1080;0.03
6;124.82;1082;0.03
7;95.22;1075;0.03
8;64.7;1014;0.04
9;262.15;969;0.05
10;338.45;949;0.07
11;377.82;932;0.1
12;434.58;922;0.13
13;533.46;917;0.16
14;641.8;912;0.19
15;737.94;898;0.22
16;814.54;905;0.25
17;893.28;912;0.29
18;984.53;925;0.32
19;1083.41;932;0.35
20;1179.54;939;0.38
21;1283;977;0.41
22;1379.13;999;0.43
23;1453.29;1003;0.45
24;1536.91;1023;0.47
25;1628.16;1043;0.48
26;1709.65;1053;0.5
27;1781.06;1060;0.51
28;1832.94;1085;0.52
29;1857.66;1105;0.52
30;1879.94;1147;0.53
31;1919.31;1110;0.54
32;1971.19;1119;0.54
33;2005.68;1132;0.55
34;2035.28;1132;0.55
35;2042.6;1129;0.56
36;2037.72;1144;0.56
37;2054.81;1164;0.57
38;2104.25;1162;0.57
39;2153.69;1159;0.58
40;2188.18;1132;0.58
41;2207.71;1184;0.58
42;2205.27;1186;0.59
43;2190.62;1176;0.59
44;2210.15;1189;0.6
45;2252.27;1196;0.6
46;2289.19;1198;0.61
47;2313.91;1189;0.61
48;2306.59;1201;0.62
49;2286.75;1211;0.62
50;2264.47;1255;0.63
51;2289.19;1206;0.63
52;2326.12;1216;0.63
53;2350.84;1231;0.64
54;2360.61;1231;0.64
55;2350.84;1228;0.65
56;2323.68;1233;0.65
57;2333.75;1258;0.66
58;2390.21;1255;0.66
59;2442.09;1253;0.66
60;2466.81;1221;0.67
61;2474.14;1280;0.67
62;2466.81;1282;0.67
63;2442.09;1270;0.68
64;2439.65;1282;0.68
65;2479.02;1292;0.68
66;2515.95;1297;0.69
67;2535.78;1285;0.69
68;2535.78;1299;0.69
69;2506.18;1312;0.7
70;2466.81;1354;0.7
71;2474.14;1305;0.7
72;2506.18;1305;0.71
73;2535.78;1324;0.71
74;2545.55;1322;0.71
75;2535.78;1322;0.72
76;2508.62;1329;0.72
77;2498.86;1351;0.72
78;2545.55;1344;0.72
79;2602.31;1342;0.73
