<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-14:09:17</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261573</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3872</WeldTime>
<DistDiff>2.14</DistDiff>
<DistAbs>75.14</DistAbs>
<Energy>18002.9</Energy>
<MaxPower>6426</MaxPower>
<CycleTime>8740</CycleTime>
<TrigForce>1018.4</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>58.6345</RunSpeed>
<MaxForce>3636</MaxForce>
<LossPower>14.8015</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;123.75;1063;0.02
3;123.75;1065;0.02
4;126.19;1073;0.03
5;126.19;1073;0.03
6;126.19;1080;0.03
7;101.47;1070;0.03
8;53.87;1009;0.04
9;251.01;969;0.05
10;330.06;934;0.07
11;366.99;925;0.1
12;411.24;912;0.13
13;492.72;900;0.17
14;598.93;883;0.2
15;684.99;885;0.24
16;756.71;878;0.27
17;828.12;885;0.31
18;899.53;907;0.35
19;981.02;927;0.39
20;1077.15;949;0.42
21;1173.28;964;0.45
22;1274.61;974;0.47
23;1365.86;1009;0.49
24;1444.59;1038;0.51
25;1506.24;1036;0.53
26;1582.84;1060;0.54
27;1659.14;1078;0.55
28;1720.79;1085;0.56
29;1767.78;1095;0.56
30;1794.95;1105;0.57
31;1797.39;1115;0.57
32;1809.6;1132;0.58
33;1846.83;1119;0.58
34;1881.31;1107;0.59
35;1910.92;1134;0.59
36;1935.33;1129;0.6
37;1940.52;1137;0.6
38;1935.33;1157;0.61
39;1967.38;1162;0.61
40;2019.26;1166;0.61
41;2051.3;1169;0.62
42;2076.02;1162;0.62
43;2090.98;1184;0.63
44;2083.35;1201;0.63
45;2078.46;1179;0.63
46;2098.3;1196;0.64
47;2137.67;1198;0.64
48;2172.15;1194;0.65
49;2191.99;1198;0.65
50;2196.87;1201;0.66
51;2177.04;1211;0.66
52;2159.95;1231;0.66
53;2184.67;1218;0.67
54;2219.15;1203;0.67
55;2243.87;1235;0.67
56;2256.08;1233;0.68
57;2246.32;1235;0.68
58;2226.48;1253;0.68
59;2238.69;1260;0.69
60;2288.13;1265;0.69
61;2327.49;1265;0.69
62;2349.77;1263;0.7
63;2354.66;1280;0.7
64;2342.45;1297;0.7
65;2322.61;1278;0.71
