<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-14:12:23</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261577</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3823</WeldTime>
<DistDiff>2.23</DistDiff>
<DistAbs>75.27</DistAbs>
<Energy>18001.3</Energy>
<MaxPower>6381</MaxPower>
<CycleTime>8670</CycleTime>
<TrigForce>1025.73</TrigForce>
<TrigDist>73.04</TrigDist>
<RunSpeed>58.2921</RunSpeed>
<MaxForce>3611</MaxForce>
<LossPower>13.7333</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;124.82;1070;0.02
3;124.82;1070;0.02
4;127.26;1075;0.03
5;127.26;1080;0.03
6;129.7;1082;0.03
7;87.89;1082;0.03
8;94.3;1031;0.04
9;276.8;979;0.05
10;343.33;947;0.07
11;377.82;930;0.1
12;432.14;917;0.13
13;520.95;910;0.16
14;624.41;907;0.2
15;705.89;890;0.23
16;782.49;893;0.27
17;861.23;900;0.31
18;942.72;910;0.35
19;1026.64;930;0.38
20;1107.82;954;0.41
21;1191.75;979;0.44
22;1278.12;1001;0.47
23;1371.81;1009;0.49
24;1458.17;1021;0.5
25;1532.03;1050;0.52
26;1583.91;1055;0.53
27;1638.23;1080;0.54
28;1670.28;1102;0.55
29;1721.85;1115;0.55
30;1783.5;1117;0.56
31;1828.06;1115;0.56
32;1862.54;1125;0.56
33;1887.26;1137;0.57
34;1889.71;1149;0.57
35;1897.03;1134;0.58
36;1926.63;1147;0.58
37;1968.44;1154;0.59
38;1995.61;1147;0.59
39;2013;1162;0.6
40;2008.12;1166;0.6
41;1988.28;1186;0.61
42;1990.72;1176;0.61
43;2022.77;1174;0.62
44;2049.93;1169;0.62
45;2069.77;1191;0.62
46;2079.53;1186;0.63
47;2072.21;1191;0.63
48;2062.44;1213;0.64
49;2101.81;1208;0.64
50;2131.41;1211;0.65
51;2170.78;1196;0.65
52;2197.94;1223;0.65
53;2207.71;1238;0.66
54;2202.83;1250;0.66
55;2188.18;1235;0.67
56;2205.27;1248;0.67
57;2242.19;1250;0.67
58;2264.47;1240;0.68
59;2279.43;1258;0.68
60;2264.47;1267;0.68
61;2234.87;1292;0.68
62;2215.34;1273;0.69
63;2234.87;1267;0.69
64;2262.03;1267;0.69
65;2276.99;1285;0.7
66;2284.31;1282;0.7
67;2269.36;1290;0.7
68;2247.38;1312;0.7
69;2266.91;1307;0.71
70;2316.35;1305;0.71
71;2350.84;1285;0.71
72;2370.68;1317;0.72
73;2375.56;1329;0.72
74;2360.61;1334;0.72
75;2345.96;1324;0.73
76;2365.49;1337;0.73
77;2405.16;1342;0.73
78;2427.14;1332;0.73
