<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-14:17:54</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261584</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3932</WeldTime>
<DistDiff>2.14</DistDiff>
<DistAbs>75.02</DistAbs>
<Energy>18001</Energy>
<MaxPower>5679</MaxPower>
<CycleTime>8790</CycleTime>
<TrigForce>1028.17</TrigForce>
<TrigDist>72.88</TrigDist>
<RunSpeed>58.118</RunSpeed>
<MaxForce>3614</MaxForce>
<LossPower>12.5126</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;128.48;1073;0.02
3;123.6;1078;0.02
4;126.04;1080;0.02
5;126.04;1087;0.02
6;126.04;1090;0.03
7;74.16;1092;0.03
8;110.48;1043;0.03
9;287.79;991;0.05
10;349.44;962;0.07
11;386.67;944;0.09
12;448.32;937;0.12
13;554.22;937;0.15
14;670.19;927;0.18
15;768.76;917;0.21
16;815.76;902;0.24
17;899.38;922;0.28
18;978.42;942;0.31
19;1062.35;942;0.34
20;1158.48;967;0.37
21;1274.45;986;0.4
22;1382.79;996;0.42
23;1486.56;1011;0.44
24;1570.18;1031;0.46
25;1634.27;1053;0.47
26;1698.66;1080;0.49
27;1779.84;1078;0.5
28;1854;1075;0.5
29;1913.21;1115;0.51
30;1959.9;1112;0.52
31;1987.06;1122;0.52
32;1996.83;1139;0.53
33;2034.06;1144;0.53
34;2100.59;1142;0.54
35;2147.28;1149;0.54
36;2186.96;1139;0.55
37;2213.81;1171;0.55
38;2211.37;1186;0.56
39;2208.93;1169;0.56
40;2240.97;1184;0.56
41;2285.53;1186;0.57
42;2317.58;1176;0.57
43;2332.22;1181;0.58
44;2327.34;1189;0.58
45;2297.74;1196;0.59
46;2290.41;1213;0.59
47;2327.34;1189;0.6
48;2369.46;1179;0.6
49;2393.87;1213;0.61
50;2403.94;1206;0.61
51;2391.43;1208;0.62
52;2374.34;1233;0.62
53;2408.83;1240;0.63
54;2472.91;1238;0.63
55;2514.73;1240;0.64
56;2537;1233;0.64
57;2539.45;1263;0.65
58;2517.17;1282;0.65
59;2504.96;1260;0.65
60;2532.12;1273;0.66
61;2573.93;1280;0.66
62;2601.09;1267;0.67
63;2603.53;1278;0.67
64;2591.33;1282;0.67
65;2551.96;1290;0.68
