<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-25-19:34:43</TimeStamp>
<UserName>operator</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>261810</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3858</WeldTime>
<DistDiff>2.49</DistDiff>
<DistAbs>75.28</DistAbs>
<Energy>18001.8</Energy>
<MaxPower>6677</MaxPower>
<CycleTime>8700</CycleTime>
<TrigForce>1025.73</TrigForce>
<TrigDist>72.79</TrigDist>
<RunSpeed>58</RunSpeed>
<MaxForce>3643</MaxForce>
<LossPower>15.8696</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;125.13;1068;0.03
3;122.68;1075;0.03
4;125.13;1075;0.04
5;125.13;1082;0.04
6;125.13;1085;0.04
7;75.99;1085;0.04
8;101.93;1031;0.05
9;272.23;969;0.07
10;324.11;939;0.09
11;341.2;922;0.12
12;356.15;910;0.16
13;378.12;893;0.19
14;410.17;883;0.23
15;457.17;880;0.27
16;496.54;878;0.32
17;523.7;885;0.36
18;550.86;888;0.4
19;578.02;900;0.45
20;592.67;930;0.49
21;627.46;939;0.53
22;657.06;959;0.56
23;679.04;986;0.59
24;701.32;1003;0.61
25;728.48;1021;0.63
26;750.76;1041;0.65
27;770.29;1055;0.66
28;780.36;1082;0.67
29;787.68;1105;0.68
30;782.8;1107;0.69
31;790.12;1127;0.69
32;792.57;1134;0.69
33;792.57;1137;0.7
34;790.12;1139;0.7
35;782.8;1149;0.71
36;775.17;1157;0.71
37;765.4;1169;0.71
38;765.4;1169;0.71
39;770.29;1166;0.72
40;767.85;1181;0.72
41;770.29;1176;0.72
42;765.4;1181;0.73
43;767.85;1194;0.73
44;775.17;1198;0.73
45;790.12;1198;0.74
46;802.33;1203;0.74
47;807.21;1203;0.74
48;807.21;1218;0.75
49;814.84;1223;0.75
50;817.29;1218;0.76
51;824.61;1233;0.76
52;839.56;1233;0.76
53;851.77;1235;0.77
54;856.65;1240;0.77
55;861.54;1250;0.77
56;861.54;1258;0.78
57;861.54;1263;0.78
58;874.05;1263;0.78
59;886.26;1263;0.79
60;893.58;1282;0.79
61;901.21;1278;0.79
62;903.65;1282;0.79
63;903.65;1292;0.8
64;923.18;1295;0.8
65;945.46;1295;0.8
66;960.11;1299;0.8
67;972.62;1302;0.81
68;977.51;1312;0.81
69;977.51;1322;0.81
70;982.39;1314;0.81
71;989.72;1327;0.82
72;1007.11;1324;0.82
73;1019.32;1329;0.82
74;1026.95;1332;0.83
75;1026.95;1342;0.83
76;1026.95;1354;0.83
77;1031.83;1354;0.83
78;1046.48;1346;0.84
79;1063.88;1346;0.84
80;1076.08;1361;0.84
81;1088.6;1356;0.84
82;1095.92;1366;0.85
83;1100.8;1376;0.85
84;1120.64;1381;0.85
85;1147.8;1381;0.85
86;1162.45;1376;0.86
87;1177.4;1383;0.86
88;1184.73;1396;0.86
89;1184.73;1403;0.86
90;1192.05;1396;0.87
91;1201.82;1408;0.87
92;1224.1;1408;0.87
93;1241.49;1403;0.87
94;1258.58;1408;0.88
95;1266.21;1421;0.88
96;1266.21;1438;0.88
97;1268.65;1426;0.88
98;1288.19;1421;0.89
99;1312.91;1426;0.89
100;1332.74;1438;0.89
101;1349.83;1433;0.89
102;1359.9;1440;0.89
103;1369.67;1453;0.9
104;1391.95;1453;0.9
105;1428.88;1450;0.9
106;1460.92;1435;0.9
107;1488.08;1458;0.91
108;1505.17;1470;0.91
109;1515.24;1470;0.91
110;1517.69;1465;0.91
111;1547.29;1477;0.92
112;1576.89;1472;0.92
113;1601.61;1470;0.92
114;1621.14;1477;0.92
115;1628.47;1485;0.93
116;1623.58;1504;0.93
117;1630.91;1482;0.93
118;1663.26;1480;0.93
119;1692.56;1485;0.94
120;1709.95;1494;0.94
121;1727.35;1492;0.94
122;1729.79;1502;0.94
123;1732.23;1509;0.95
124;1764.28;1509;0.95
125;1803.64;1509;0.95
126;1833.25;1482;0.96
127;1855.53;1519;0.96
128;1865.29;1527;0.96
129;1862.85;1527;0.96
130;1870.17;1527;0.97
131;1899.78;1534;0.97
132;1931.82;1531;0.97
133;1956.54;1527;0.98
134;1971.5;1529;0.98
135;1973.94;1539;0.98
136;1956.54;1546;0.98
137;1971.5;1561;0.99
138;1995.91;1539;0.99
139;2033.14;1529;0.99
140;2057.56;1559;1
141;2072.51;1551;1
142;2074.95;1551;1
143;2070.07;1574;1.01
144;2094.79;1576;1.01
145;2143.93;1578;1.01
146;2183.6;1578;1.01
147;2210.46;1569;1.02
148;2222.97;1593;1.02
149;2218.09;1615;1.02
150;2210.46;1588;1.02
151;2237.62;1601;1.03
152;2277.29;1603;1.03
153;2301.71;1593;1.03
154;2309.34;1598;1.03
155;2304.45;1606;1.03
156;2277.29;1613;1.04
157;2274.85;1625;1.04
158;2309.34;1608;1.04
159;2348.7;1593;1.04
160;2368.54;1623;1.05
161;2373.42;1618;1.05
162;2363.35;1618;1.05
163;2351.15;1640;1.05
164;2378.31;1635;1.06
165;2439.95;1640;1.06
166;2476.88;1635;1.06
167;2499.16;1633;1.06
168;2504.04;1657;1.07
169;2481.77;1679;1.07
170;2472;1647;1.07
171;2508.93;1657;1.07
172;2545.85;1662;1.08
173;2570.57;1650;1.08
174;2575.46;1655;1.08
175;2553.48;1665;1.08
176;2516.25;1675;1.09
177;2523.88;1679;1.09
178;2560.81;1662;1.09
179;2597.74;1652;1.09
180;2622.46;1682;1.1
181;2620.01;1675;1.1
182;2600.18;1679;1.1
183;2585.53;1702;1.1
184;2627.34;1697;1.11
185;2681.66;1702;1.11
186;2721.03;1687;1.11
187;2748.19;1702;1.11
188;2748.19;1719;1.12
189;2721.03;1734;1.12
190;2708.82;1709;1.12
191;2740.87;1726;1.12
192;2787.56;1726;1.13
193;2809.84;1714;1.13
194;2817.16;1722;1.13
195;2792.75;1726;1.13
196;2745.75;1746;1.13
197;2748.19;1739;1.14
198;2790;1729;1.14
199;2827.23;1719;1.14
200;2846.77;1749;1.14
201;2849.21;1744;1.15
202;2822.35;1744;1.15
203;2802.51;1766;1.15
204;2846.77;1761;1.15
205;2905.97;1766;1.15
206;2945.65;1739;1.16
207;2970.06;1768;1.16
208;2972.5;1783;1.16
209;2948.09;1798;1.16
210;2923.37;1776;1.17
211;2950.53;1788;1.17
212;2999.66;1791;1.17
213;3026.83;1776;1.17
214;3044.22;1788;1.17
215;3029.27;1795;1.18
216;2977.69;1827;1.18
217;2970.06;1803;1.18
218;3009.74;1793;1.18
219;3051.55;1788;1.18
220;3076.27;1810;1.19
221;3086.03;1805;1.19
222;3058.87;1808;1.19
223;3029.27;1830;1.19
224;3066.5;1823;1.2
225;3125.4;1825;1.2
226;3162.63;1793;1.2
227;3197.12;1830;1.2
228;3199.56;1845;1.2
229;3162.63;1852;1.21
230;3147.68;1840;1.21
231;3187.05;1852;1.21
232;3229.16;1855;1.21
233;3258.77;1838;1.22
234;3275.86;1850;1.22
235;3248.7;1852;1.22
236;3192.24;1899;1.22
237;3199.56;1862;1.23
238;3248.7;1855;1.23
239;3288.37;1852;1.23
240;3315.53;1870;1.23
241;3325.3;1865;1.23
242;3290.81;1870;1.24
243;3268.53;1894;1.24
244;3317.97;1884;1.24
245;3377.18;1889;1.24
246;3414.11;1840;1.25
247;3448.59;1902;1.25
248;3441.27;1909;1.25
249;3394.27;1911;1.25
250;3391.83;1904;1.26
251;3433.94;1914;1.26
252;3473.31;1911;1.26
253;3498.03;1899;1.26
254;3507.8;1914;1.27
255;3485.52;1911;1.27
256;3423.87;1975;1.27
257;3411.66;1916;1.27
258;3453.47;1914;1.27
259;3492.84;1916;1.28
260;3522.45;1929;1.28
261;3537.4;1924;1.28
262;3505.36;1926;1.28
263;3463.55;1953;1.29
264;3500.47;1946;1.29
265;3564.56;1946;1.29
266;3608.81;1889;1.29
267;3645.74;1958;1.29
268;3650.93;1968;1.3
269;3601.49;1966;1.3
270;3584.09;1961;1.3
271;3626.21;1971;1.3
272;3668.02;1975;1.3
273;3700.06;1956;1.31
274;3719.9;1973;1.31
275;3682.97;1971;1.31
276;3618.88;2045;1.31
277;3623.77;1973;1.32
278;3670.46;1971;1.32
279;3712.58;1975;1.32
280;3744.62;1988;1.32
281;3751.95;1980;1.32
282;3704.95;1983;1.33
283;3670.46;2010;1.33
284;3722.34;1998;1.33
285;3781.55;2000;1.33
286;3828.24;1934;1.34
287;3867.92;2015;1.34
288;3857.84;2022;1.34
289;3806.27;2018;1.34
290;3796.2;2018;1.34
291;3845.64;2025;1.35
292;3897.52;2027;1.35
293;3929.56;2005;1.35
294;3941.77;2022;1.35
295;3887.45;2030;1.36
296;3813.59;2102;1.36
297;3838.31;2022;1.36
298;3889.89;2020;1.36
299;3934.45;2032;1.36
300;3968.93;2035;1.37
301;3961.61;2035;1.37
302;3902.4;2035;1.37
303;3870.36;2062;1.37
304;3932;2055;1.38
305;4008.3;2050;1.38
306;4060.18;1980;1.38
307;4104.74;2072;1.38
308;4092.23;2077;1.38
309;4025.7;2067;1.39
310;4008.3;2069;1.39
311;4067.51;2072;1.39
312;4124.27;2082;1.39
313;4161.2;2057;1.4
314;4163.64;2074;1.4
315;4101.99;2074;1.4
316;4013.49;2136;1.4
317;4033.02;2082;1.4
318;4099.55;2069;1.41
319;4153.87;2069;1.41
320;4188.36;2089;1.41
321;4173.71;2084;1.41
322;4104.74;2084;1.42
323;4075.14;2111;1.42
324;4153.87;2106;1.42
325;4242.68;2106;1.42
326;4282.05;2047;1.42
327;4331.49;2116;1.43
328;4329.05;2126;1.43
329;4260.08;2131;1.43
330;4215.52;2121;1.43
331;4272.29;2128;1.43
332;4351.33;2128;1.44
333;4402.91;2106;1.44
334;4412.98;2126;1.44
335;4351.33;2126;1.44
336;4247.57;2203;1.44
337;4235.36;2126;1.45
338;4311.65;2123;1.45
339;4390.7;2123;1.45
340;4434.95;2136;1.45
341;4422.74;2138;1.45
342;4351.33;2134;1.46
343;4282.05;2163;1.46
344;4351.33;2156;1.46
345;4464.55;2161;1.46
346;4546.04;2084;1.46
347;4582.96;2170;1.47
348;4555.8;2178;1.47
349;4464.55;2178;1.47
350;4425.18;2168;1.47
351;4501.79;2178;1.47
352;4597.92;2185;1.47
353;4644.61;2158;1.48
354;4637.29;2178;1.48
355;4546.04;2175;1.48
356;4425.18;2262;1.48
357;4437.39;2175;1.48
358;4526.2;2173;1.49
359;4617.45;2178;1.49
360;4654.68;2188;1.49
361;4625.08;2185;1.49
362;4528.64;2183;1.49
363;4464.55;2215;1.5
364;4560.69;2205;1.5
365;4691.61;2210;1.5
366;4775.54;2128;1.5
367;4802.39;2222;1.5
368;4745.93;2230;1.51
369;4639.73;2227;1.51
370;4619.89;2222;1.51
371;4718.77;2227;1.51
372;4819.79;2235;1.51
373;4851.83;2207;1.51
374;4856.72;2227;1.52
375;4775.54;2225;1.52
376;4637.29;2316;1.52
377;4602.8;2222;1.52
378;4691.61;2222;1.52
379;4797.51;2230;1.53
380;4856.72;2237;1.53
381;4839.63;2232;1.53
382;4748.38;2230;1.53
383;4654.68;2262;1.53
384;4723.65;2250;1.54
385;4864.04;2254;1.54
386;4970.24;2166;1.54
387;5012.05;2274;1.54
388;4980.01;2274;1.54
389;4874.11;2269;1.55
390;4814.91;2269;1.55
391;4898.83;2271;1.55
392;5009.61;2282;1.55
393;5063.94;2252;1.55
394;5061.49;2271;1.56
395;4967.8;2274;1.56
396;4827.11;2365;1.56
397;4824.67;2262;1.56
398;4923.25;2264;1.56
399;5024.57;2274;1.57
400;5068.82;2279;1.57
401;5048.98;2279;1.57
402;4947.97;2274;1.57
403;4874.11;2306;1.57
404;4967.8;2299;1.58
405;5105.75;2294;1.58
406;5194.56;2269;1.58
407;5229.04;2286;1.58
408;5187.23;2323;1.58
409;5078.59;2343;1.59
410;5051.73;2306;1.59
411;5142.98;2321;1.59
412;5241.55;2328;1.59
413;5288.25;2294;1.59
414;5280.92;2314;1.6
415;5184.79;2316;1.6
416;5056.61;2360;1.6
417;5083.77;2331;1.6
418;5182.35;2309;1.6
419;5266.27;2291;1.61
420;5300.76;2328;1.61
421;5293.13;2323;1.61
422;5201.88;2321;1.61
423;5132.91;2358;1.61
424;5219.28;2343;1.61
425;5342.57;2343;1.62
426;5428.94;2296;1.62
427;5468.31;2341;1.62
428;5438.7;2370;1.62
429;5340.13;2387;1.62
430;5317.85;2355;1.63
431;5396.89;2365;1.63
432;5483.26;2370;1.63
433;5525.07;2341;1.63
434;5532.4;2360;1.63
435;5448.77;2360;1.63
436;5330.36;2420;1.64
437;5352.34;2375;1.64
438;5428.94;2351;1.64
439;5500.35;2333;1.64
440;5540.03;2370;1.64
441;5525.07;2365;1.64
442;5433.82;2360;1.65
443;5394.45;2398;1.65
444;5438.7;2387;1.65
445;5544.91;2385;1.65
446;5628.53;2323;1.65
447;5673.09;2390;1.66
448;5668.2;2412;1.66
449;5584.28;2427;1.66
450;5532.4;2398;1.66
451;5589.16;2405;1.66
452;5665.76;2410;1.66
453;5705.13;2378;1.67
454;5732.29;2402;1.67
455;5673.09;2405;1.67
456;5554.67;2476;1.67
457;5544.91;2407;1.67
458;5606.56;2392;1.67
459;5675.53;2380;1.68
460;5717.34;2412;1.68
461;5722.53;2407;1.68
462;5641.04;2402;1.68
463;5569.63;2439;1.68
464;5636.16;2427;1.68
465;5729.85;2424;1.69
466;5793.94;2358;1.69
467;5835.75;2434;1.69
468;5816.22;2454;1.69
469;5727.41;2464;1.69
470;5702.69;2439;1.69
471;5759.45;2444;1.7
472;5823.54;2454;1.7
473;5860.47;2424;1.7
474;5872.68;2444;1.7
475;5798.82;2447;1.7
476;5685.29;2528;1.7
477;5700.25;2447;1.7
478;5757.01;2432;1.71
479;5811.03;2427;1.71
480;5850.7;2452;1.71
481;5840.63;2449;1.71
482;5754.57;2444;1.71
483;5707.57;2484;1.71
484;5776.54;2469;1.71
485;5860.47;2469;1.72
486;5912.35;2387;1.72
487;5954.16;2479;1.72
488;5917.23;2491;1.72
489;5828.43;2501;1.72
490;5823.54;2481;1.72
491;5855.59;2486;1.72
492;5919.68;2494;1.73
493;5954.16;2457;1.73
494;5981.32;2484;1.73
495;5929.44;2484;1.73
496;5811.03;2575;1.73
497;5798.82;2481;1.73
498;5845.82;2474;1.73
499;5902.28;2469;1.73
500;5939.51;2486;1.74
501;5951.72;2486;1.74
502;5870.24;2479;1.74
503;5803.71;2523;1.74
504;5860.47;2503;1.74
505;5939.51;2506;1.74
506;5996.28;2415;1.74
507;6042.97;2523;1.74
508;6028.32;2528;1.75
509;5939.51;2535;1.75
510;5907.47;2521;1.75
511;5961.49;2526;1.75
512;6020.69;2533;1.75
513;6057.92;2499;1.75
514;6077.46;2526;1.75
515;6006.04;2521;1.75
516;5887.63;2617;1.76
517;5905.03;2513;1.76
518;5954.16;2506;1.76
519;6006.04;2511;1.76
520;6045.41;2526;1.76
521;6040.53;2523;1.76
522;5949.28;2513;1.76
523;5902.28;2555;1.76
524;5971.56;2540;1.77
525;6045.41;2543;1.77
526;6097.29;2447;1.77
527;6143.99;2563;1.77
528;6111.94;2565;1.77
529;6015.81;2565;1.77
530;6018.25;2558;1.77
531;6075.01;2563;1.77
532;6126.9;2572;1.77
533;6163.82;2535;1.78
534;6173.59;2560;1.78
535;6082.34;2555;1.78
536;5971.56;2661;1.78
537;6010.93;2548;1.78
538;6052.74;2543;1.78
539;6104.62;2546;1.78
540;6146.43;2560;1.78
541;6139.1;2560;1.78
542;6047.85;2550;1.79
543;5993.53;2590;1.79
544;6067.69;2575;1.79
545;6141.55;2578;1.79
546;6195.87;2474;1.79
547;6245.31;2600;1.79
548;6218.15;2602;1.79
549;6119.57;2597;1.79
550;6116.83;2595;1.79
551;6176.03;2597;1.8
552;6230.35;2607;1.8
553;6272.47;2570;1.8
