<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-06-26-09:41:56</TimeStamp>
<UserName>admin</UserName>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>10000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>2</RunupPressure>
<RunupDist>5</RunupDist>
<RunPress>0.7</RunPress>
<RunBackPress1>4</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>5</RunBackDist>
<TrigValue>1000</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>19.2326</PressNr>
<MaxLoss>300</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.2</RunPressure>
<Amplitude>85</Amplitude>
<WeldMode>6000</WeldMode>
</WeldSet>
<WeldSet>
<PressRiseTime>0.1</PressRiseTime>
<RunPressure>2.6</RunPressure>
<Amplitude>90</Amplitude>
<WeldMode>12000</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>262074</WeldNr>
<RecipeName>CCS2_CVS.CSV</RecipeName>
<WeldTime>3959</WeldTime>
<DistDiff>2.09</DistDiff>
<DistAbs>75.09</DistAbs>
<Energy>18002.5</Energy>
<MaxPower>6775</MaxPower>
<CycleTime>8810</CycleTime>
<TrigForce>1023.29</TrigForce>
<TrigDist>73</TrigDist>
<RunSpeed>58.7762</RunSpeed>
<MaxForce>3626</MaxForce>
<LossPower>18.7689</LossPower>
<ErrorNr>0</ErrorNr>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;119.79;1070;0.03
3;122.23;1075;0.03
4;124.67;1075;0.03
5;119.79;1082;0.03
6;119.79;1082;0.03
7;102.39;1082;0.04
8;34.94;1016;0.04
9;244.61;974;0.06
10;330.97;937;0.08
11;370.34;922;0.11
12;412.46;912;0.14
13;493.64;900;0.17
14;599.84;898;0.2
15;691.09;895;0.24
16;767.39;888;0.27
17;846.43;893;0.31
18;930.36;890;0.35
19;1009.09;927;0.39
20;1090.58;957;0.42
21;1164.43;962;0.45
22;1255.68;981;0.48
23;1357.01;1006;0.5
24;1448.26;1021;0.52
25;1529.44;1028;0.54
26;1598.71;1055;0.55
27;1647.85;1080;0.56
28;1682.33;1117;0.57
29;1734.21;1100;0.57
30;1793.42;1095;0.58
31;1835.23;1125;0.58
32;1869.72;1122;0.59
33;1889.55;1125;0.59
34;1894.44;1137;0.59
35;1911.83;1149;0.6
36;1958.53;1149;0.6
37;2005.52;1149;0.61
38;2035.13;1134;0.61
39;2057.41;1176;0.62
40;2064.73;1194;0.62
41;2052.22;1174;0.62
42;2072.05;1176;0.63
43;2111.42;1189;0.63
44;2143.47;1191;0.64
45;2168.19;1184;0.64
46;2177.95;1194;0.64
47;2163.3;1206;0.65
48;2151.1;1243;0.65
49;2175.51;1196;0.66
50;2212.74;1201;0.66
51;2237.16;1221;0.67
52;2249.67;1213;0.67
53;2247.23;1223;0.67
54;2232.28;1228;0.68
55;2237.16;1250;0.68
56;2279.27;1245;0.68
57;2325.97;1243;0.69
58;2348.25;1211;0.69
59;2365.64;1270;0.7
60;2355.57;1278;0.7
61;2331.16;1265;0.7
62;2340.92;1278;0.7
63;2375.41;1282;0.71
64;2402.57;1285;0.71
65;2414.78;1278;0.71
66;2414.78;1290;0.72
67;2385.17;1302;0.72
68;2360.45;1339;0.72
69;2377.85;1295;0.73
70;2412.34;1292;0.73
71;2434.61;1317;0.73
72;2444.38;1307;0.74
73;2432.17;1312;0.74
74;2409.89;1322;0.74
75;2419.66;1337;0.74
76;2464.22;1339;0.75
77;2510.91;1334;0.75
78;2530.75;1305;0.75
79;2535.63;1359;0.75
80;2530.75;1369;0.76
81;2503.59;1351;0.76
82;2498.7;1364;0.76
83;2530.75;1369;0.76
84;2565.23;1369;0.77
85;2585.07;1366;0.77
86;2582.63;1374;0.77
87;2553.03;1386;0.77
88;2518.54;1423;0.78
89;2525.86;1379;0.78
90;2557.91;1374;0.78
91;2585.07;1401;0.78
92;2597.28;1393;0.78
93;2585.07;1396;0.79
94;2555.47;1406;0.79
95;2542.95;1421;0.79
96;2589.95;1418;0.79
97;2639.39;1415;0.79
98;2666.25;1391;0.8
99;2673.88;1440;0.8
100;2661.37;1450;0.8
101;2629.32;1433;0.8
102;2631.76;1443;0.8
103;2671.44;1450;0.81
104;2705.92;1445;0.81
105;2720.57;1443;0.81
106;2710.81;1453;0.81
107;2673.88;1460;0.81
108;2634.21;1490;0.81
109;2651.6;1453;0.82
110;2688.53;1445;0.82
111;2715.69;1472;0.82
112;2718.13;1467;0.82
113;2701.04;1467;0.82
114;2666.25;1480;0.82
115;2666.25;1492;0.83
116;2713.25;1490;0.83
117;2765.13;1485;0.83
118;2787.1;1462;0.83
119;2789.85;1512;0.83
120;2767.57;1527;0.84
121;2735.53;1502;0.84
122;2747.73;1512;0.84
123;2787.1;1519;0.84
124;2816.71;1507;0.84
125;2829.22;1512;0.84
126;2811.82;1519;0.84
127;2767.57;1529;0.85
128;2737.97;1554;0.85
129;2757.5;1519;0.85
130;2782.22;1507;0.85
131;2809.38;1539;0.85
132;2816.71;1534;0.85
133;2806.94;1531;0.86
134;2770.01;1554;0.86
135;2750.18;1561;0.86
136;2797.17;1559;0.86
137;2848.75;1556;0.86
