<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-26-14:33:40</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1622</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1591</WeldTime>
<DistDiff>2.29</DistDiff>
<DistAbs>78.72</DistAbs>
<Energy>3270.28</Energy>
<MaxPower>2281.72</MaxPower>
<CycleTime>5740</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.43</TrigDist>
<RunSpeed>69.6084</RunSpeed>
<MaxForce>591.571</MaxForce>
<LossPower>209.51</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;502.701;0
4;0;500.748;0
5;0;500.748;0
6;0;504.654;0
7;0;500.748;0
8;0;475.112;0
9;0;427.503;0.0199966
10;64.5466;405.774;0.0400009
11;106.357;386.242;0.0699997
12;146.031;372.326;0.110001
13;200.354;342.784;0.150002
14;279.092;348.643;0.190002
15;353.252;328.867;0.230003
16;412.458;326.914;0.269997
17;469.222;311.045;0.309998
18;528.733;330.821;0.339996
19;590.381;323.008;0.379997
20;644.703;348.643;0.409996
21;716.117;321.055;0.440002
22;792.718;340.831;0.470001
23;857.112;362.56;0.489998
24;921.201;348.643;0.510002
25;980.407;366.466;0.519997
26;1027.41;370.373;0.540001
27;1069.22;392.102;0.550003
28;1128.73;376.232;0.559998
29;1177.86;394.055;0.559998
30;1219.98;386.242;0.57
31;1254.46;407.971;0.57
32;1269.42;421.644;0.580002
33;1276.74;407.971;0.580002
34;1306.34;419.691;0.580002
35;1358.23;425.55;0.589996
36;1390.27;419.691;0.589996
37;1419.87;407.971;0.599998
38;1449.48;429.456;0.599998
39;1461.99;425.55;0.610001
40;1479.08;445.326;0.620003
41;1533.4;429.456;0.620003
42;1580.4;419.691;0.629997
43;1617.63;447.279;0.629997
44;1649.68;427.503;0.639999
45;1659.44;427.503;0.639999
46;1657;433.607;0.650002
47;1659.44;449.232;0.659996
48;1699.12;425.55;0.659996
49;1728.72;435.56;0.669998
50;1753.44;411.878;0.68
51;1765.65;445.326;0.68
52;1753.44;447.279;0.690002
53;1736.05;427.503;0.699997
54;1758.32;453.383;0.699997
55;1807.76;447.279;0.709999
56;1837.37;455.336;0.720001
57;1854.46;435.56;0.730003
58;1861.78;472.915;0.730003
59;1849.57;459.243;0.739998
60;1847.13;484.878;0.739998
61;1894.13;453.383;0.75
62;1935.94;455.336;0.75
63;1963.1;480.972;0.760002
64;1980.5;457.289;0.760002
65;1973.17;465.102;0.769997
66;1946.01;465.102;0.769997
67;1935.94;486.831;0.779999
68;1967.99;455.336;0.779999
69;1990.26;470.962;0.790001
70;2000.34;447.279;0.790001
71;1995.15;488.784;0.800003
72;1970.43;482.925;0.800003
73;1935.94;463.149;0.809998
74;1948.45;492.691;0.809998
75;1992.71;484.878;0.809998
76;2012.54;488.784;0.82
77;2024.75;470.962;0.82
78;2022.31;508.56;0.830002
79;1997.59;490.738;0.830002
80;1990.26;514.42;0.830002
81;2027.5;472.915;0.839996
82;2071.75;484.878;0.839996
83;2094.03;508.56;0.849998
84;2101.35;480.972;0.849998
85;2086.7;494.644;0.849998
86;2059.54;492.691;0.860001
87;2047.03;510.514;0.860001
88;2071.75;498.795;0.870003
