<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-27-09:39:46</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1630</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1604</WeldTime>
<DistDiff>2.45</DistDiff>
<DistAbs>78.58</DistAbs>
<Energy>3272</Energy>
<MaxPower>2240.04</MaxPower>
<CycleTime>5730</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.13</TrigDist>
<RunSpeed>69.5887</RunSpeed>
<MaxForce>597.43</MaxForce>
<LossPower>219.142</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;500.748;0
4;0;500.748;0
5;0;500.748;0
6;0;502.701;0
7;0;502.701;0
8;0;475.112;0.0100021
9;0;427.503;0.0200043
10;54.9142;409.925;0.0400009
11;96.7246;374.279;0.0699997
12;133.652;378.185;0.110001
13;187.975;352.55;0.139999
14;259.693;336.68;0.190002
15;333.853;338.633;0.230003
16;393.059;321.055;0.280006
17;444.941;314.951;0.32
18;501.705;303.232;0.370003
19;560.911;319.102;0.420006
20;617.676;317.148;0.459999
21;676.881;336.68;0.5
22;751.041;303.232;0.540001
23;822.76;324.961;0.57
24;891.732;346.69;0.600006
25;956.126;323.008;0.620003
26;1010.45;348.643;0.650002
27;1052.26;348.643;0.670006
28;1099.26;376.232;0.690002
29;1158.46;360.363;0.700005
30;1207.9;376.232;0.720001
31;1252.16;364.513;0.730003
32;1286.95;415.784;0.740005
33;1294.27;397.961;0.740005
34;1299.15;388.195;0.75
35;1338.83;421.644;0.760002
36;1385.52;405.774;0.760002
37;1415.12;409.925;0.770004
38;1449.92;397.961;0.780006
39;1472.19;423.597;0.780006
40;1484.4;413.831;0.790001
41;1501.8;439.467;0.800003
42;1553.68;396.008;0.800003
43;1597.93;415.784;0.810005
44;1629.97;439.467;0.810005
45;1657.14;413.831;0.82
46;1662.32;421.644;0.830002
47;1654.69;425.55;0.830002
48;1664.77;445.326;0.840004
49;1706.58;417.737;0.850006
50;1733.74;427.503;0.850006
51;1756.02;409.925;0.860001
52;1765.78;445.326;0.870003
53;1753.57;445.326;0.870003
