<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-12-02-11:38:43</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>4103</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.19</WeldTime>
<DistDiff>1.46</DistDiff>
<DistAbs>44.35</DistAbs>
<Energy>1802.7</Energy>
<MaxPower>2115</MaxPower>
<CycleTime>4.33</CycleTime>
<TrigForce>643</TrigForce>
<TrigDist>42.89</TrigDist>
<RunSpeed>90</RunSpeed>
<MaxForce>1151</MaxForce>
<LossPower>43</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;633;0.00
2;0;637;0.01
4;0;642;0.01
6;0;647;0.02
8;0;652;0.03
10;0;656;0.03
12;0;661;0.04
14;0;666;0.04
16;0;670;0.04
18;0;675;0.05
20;0;679;0.05
22;7;681;0.06
24;22;682;0.09
26;60;684;0.15
28;127;686;0.23
30;240;688;0.32
32;405;691;0.40
34;600;694;0.46
36;727;698;0.50
38;825;702;0.53
40;870;707;0.54
42;900;712;0.55
44;922;716;0.56
46;960;721;0.58
48;967;725;0.59
50;975;729;0.60
52;975;733;0.61
54;982;736;0.62
56;982;740;0.62
58;975;743;0.63
60;982;746;0.63
62;990;749;0.64
64;990;752;0.65
66;997;755;0.65
68;997;759;0.66
70;997;762;0.67
72;997;766;0.67
74;1005;770;0.68
76;1012;774;0.68
78;1012;777;0.69
80;1020;781;0.69
82;1027;785;0.70
84;1027;789;0.70
86;1035;793;0.71
88;1050;797;0.71
90;1050;801;0.72
92;1050;806;0.72
94;1072;810;0.73
96;1057;815;0.73
98;1057;819;0.73
100;1057;824;0.74
102;1050;828;0.74
104;1057;833;0.74
106;1065;837;0.75
108;1057;841;0.75
110;1057;846;0.75
112;1057;849;0.76
114;1057;853;0.76
116;1065;857;0.76
118;1050;861;0.77
120;1057;865;0.77
122;1057;869;0.77
124;1057;873;0.77
126;1065;877;0.78
128;1057;881;0.78
130;1057;885;0.78
132;1050;889;0.78
134;1057;893;0.79
136;1050;897;0.79
138;1050;900;0.79
140;1050;904;0.79
142;1050;908;0.80
144;1050;912;0.80
146;1080;916;0.80
148;1080;919;0.80
150;1087;922;0.81
152;1080;926;0.81
154;1080;929;0.81
156;1080;932;0.81
158;1102;936;0.81
160;1102;939;0.82
162;1102;942;0.82
164;1095;946;0.82
166;1102;949;0.82
168;1095;953;0.83
