<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-26-13:27:29</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1602</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1447</WeldTime>
<DistDiff>2.09</DistDiff>
<DistAbs>78.34</DistAbs>
<Energy>3271.66</Energy>
<MaxPower>2436.9</MaxPower>
<CycleTime>5640</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.25</TrigDist>
<RunSpeed>69.4444</RunSpeed>
<MaxForce>589.618</MaxForce>
<LossPower>0</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;108.646;500.748;0
3;106.204;498.795;0
4;108.646;500.748;0
5;108.646;498.795;0
6;108.646;500.748;0
7;91.5555;500.748;0
8;44.2518;486.831;0
9;184.942;435.56;0.0199966
10;244.148;423.597;0.0400009
11;271.31;392.102;0.0699997
12;318.308;370.373;0.0999985
13;394.91;356.456;0.150002
14;481.277;342.784;0.190002
15;550.554;328.867;0.230003
16;609.76;317.148;0.269997
17;664.083;317.148;0.32
18;733.055;299.326;0.360001
19;797.449;305.185;0.400002
20;859.096;293.222;0.440002
21;915.86;312.998;0.470001
22;970.183;319.102;0.5
23;1024.51;307.138;0.529999
24;1105.99;328.867;0.559998
25;1187.48;334.727;0.580002
26;1256.75;340.831;0.599998
27;1323.28;334.727;0.620003
28;1382.49;374.279;0.629997
29;1422.16;370.373;0.650002
30;1466.41;399.915;0.660004
31;1535.69;380.139;0.669998
32;1592.46;388.195;0.669998
33;1637.01;413.831;0.68
34;1676.38;394.055;0.68
35;1691.34;403.821;0.690002
36;1691.34;403.821;0.690002
37;1708.43;421.644;0.699997
38;1755.42;394.055;0.699997
39;1789.91;409.925;0.709999
40;1817.07;390.149;0.709999
41;1832.03;429.456;0.720001
42;1824.4;425.55;0.730003
43;1812.19;405.774;0.730003
44;1849.12;433.607;0.739998
45;1898.56;423.597;0.739998
46;1933.04;433.607;0.75
47;1955.32;413.831;0.75
48;1967.83;449.232;0.760002
49;1962.95;435.56;0.760002
50;1970.27;461.196;0.769997
51;2029.48;421.644;0.779999
52;2078.92;433.607;0.779999
53;2113.41;457.289;0.790001
54;2130.8;429.456;0.790001
55;2125.61;441.42;0.800003
56;2106.08;439.467;0.809998
57;2110.97;461.196;0.809998
58;2150.33;427.503;0.82
59;2179.94;449.232;0.830002
60;2194.89;425.55;0.830002
61;2192.45;479.019;0.839996
62;2162.85;463.149;0.839996
63;2138.13;443.373;0.849998
64;2167.73;463.149;0.849998
65;2217.17;470.962;0.860001
66;2241.89;467.055;0.860001
67;2251.66;449.232;0.870003
68;2246.77;469.008;0.870003
69;2226.94;475.112;0.879997
70;2219.61;494.644;0.879997
71;2271.49;472.915;0.889999
72;2318.49;463.149;0.889999
73;2340.46;490.738;0.900002
74;2345.65;472.915;0.900002
75;2330.7;472.915;0.900002
76;2293.77;479.019;0.910004
77;2288.58;498.795;0.910004
78;2323.37;477.065;0.919998
79;2340.46;479.019;0.919998
