<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-09:55:04</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2270</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1971</WeldTime>
<DistDiff>3</DistDiff>
<DistAbs>79.35</DistAbs>
<Energy>3270.44</Energy>
<MaxPower>1985</MaxPower>
<CycleTime>6190</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.35</TrigDist>
<RunSpeed>69.6624</RunSpeed>
<MaxForce>597.43</MaxForce>
<LossPower>246.818</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;506.607;0
3;0;506.607;0
4;0;508.56;0
5;0;508.56;0
6;0;508.56;0
7;0;508.56;0
8;0;486.831;0.0100021
9;0;439.467;0.0200043
10;37.0037;413.831;0.0400009
11;76.3726;380.139;0.0600052
12;111.164;370.373;0.0999985
13;163.045;350.597;0.130005
14;239.341;354.503;0.160004
15;315.943;319.102;0.200005
16;380.337;324.961;0.230003
17;434.355;326.914;0.260002
18;488.678;299.326;0.300003
19;543.001;314.951;0.330002
20;592.441;317.148;0.360001
21;644.322;334.727;0.380005
22;701.086;321.055;0.410004
23;752.968;328.867;0.440002
24;802.408;319.102;0.459999
25;851.848;366.466;0.480003
26;893.658;352.55;0.5
27;926.008;346.69;0.520004
28;982.772;386.242;0.529999
29;1039.54;378.185;0.540001
30;1086.23;388.195;0.550003
31;1128.35;376.232;0.560005
32;1160.39;411.878;0.57
33;1180.23;405.774;0.580002
34;1207.39;433.607;0.580002
35;1261.71;386.242;0.590004
36;1301.08;407.971;0.590004
37;1333.12;427.503;0.599998
38;1363.03;390.149;0.610001
39;1372.8;413.831;0.620003
40;1372.8;411.878;0.620003
41;1392.64;429.456;0.630005
42;1424.68;405.774;0.639999
43;1451.84;419.691;0.650002
44;1468.93;399.915;0.660004
45;1476.56;445.326;0.660004
46;1468.93;423.597;0.669998
47;1454.28;409.925;0.68
48;1488.77;449.232;0.690002
49;1523.26;425.55;0.700005
50;1545.53;425.55;0.700005
51;1567.81;409.925;0.709999
52;1575.14;441.42;0.720001
53;1567.81;429.456;0.730003
54;1580.32;455.336;0.739998
