<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-14:15:56</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2316</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1825</WeldTime>
<DistDiff>2.73</DistDiff>
<DistAbs>78.9</DistAbs>
<Energy>3271.23</Energy>
<MaxPower>2013.78</MaxPower>
<CycleTime>6000</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.17</TrigDist>
<RunSpeed>69.8807</RunSpeed>
<MaxForce>593.524</MaxForce>
<LossPower>242.756</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;500.748;0
4;0;500.748;0
5;0;504.654;0
6;0;506.607;0.0100021
7;0;506.607;0.0100021
8;0;488.784;0.0100021
9;0;431.654;0.0200043
10;28.5539;411.878;0.0400009
11;68.2279;380.139;0.0800018
12;105.155;366.466;0.110001
13;161.92;348.643;0.150002
14;238.521;336.68;0.18
15;315.123;326.914;0.220001
16;381.653;321.055;0.260002
17;443.606;305.185;0.290001
18;505.253;311.045;0.32
19;564.459;311.045;0.360001
20;616.34;311.045;0.389999
21;665.78;314.951;0.410004
22;710.032;326.914;0.440002
23;769.543;321.055;0.459999
24;828.749;336.68;0.490005
25;885.514;330.821;0.5
26;939.837;350.597;0.520004
27;981.647;370.373;0.540001
28;1011.56;360.363;0.550003
29;1050.92;380.139;0.560005
30;1119.9;394.055;0.57
31;1164.45;397.961;0.57
32;1206.57;392.102;0.580002
33;1243.5;423.597;0.580002
34;1265.77;415.784;0.590004
35;1277.98;435.56;0.590004
36;1327.42;419.691;0.599998
37;1376.86;411.878;0.599998
38;1418.67;433.607;0.610001
39;1451.02;413.831;0.620003
40;1468.11;415.784;0.620003
41;1468.11;419.691;0.630005
42;1472.99;435.56;0.639999
43;1505.34;407.971;0.650002
44;1537.39;423.597;0.650002
45;1559.67;403.821;0.660004
46;1574.32;437.513;0.669998
47;1569.43;435.56;0.669998
48;1552.04;413.831;0.68
49;1569.43;441.42;0.690002
50;1616.43;433.607;0.690002
51;1648.48;429.456;0.700005
52;1663.13;419.691;0.709999
53;1680.52;425.55;0.720001
