<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2025-01-13-07:40:45</TimeStamp>
<UserName>Operator </UserName>
<PressTyp>MPX-50</PressTyp>
<Generator>MAG-Cabinet Serie v01</Generator>
<GenFreq>20</GenFreq>
<MaxForce>5200</MaxForce>
<MaxPower>7200</MaxPower>
<RunupPressure>1.00</RunupPressure>
<RunupDist>2.00</RunupDist>
<RunPress>1.00</RunPress>
<RunBackPress1>1.00</RunBackPress1>
<RunBackPress2>1.50</RunBackPress2>
<RunBackDist>2.00</RunBackDist>
<TrigValue>600.00</TrigValue>
<TrigModeUnit>N</TrigModeUnit>
<HoldPress>0.10</HoldPress>
<HoldTime>500</HoldTime>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>MPX-TC SN019096</PressNr>
<MaxLoss>1080</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0.20</PressRiseTime>
<RunPressure>1.30</RunPressure>
<Amplitude>70</Amplitude>
<WeldMode>1800.00</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>4863</WeldNr>
<RecipeName>Q_SCON25 - 35AL Recommended Set</RecipeName>
<WeldTime>1.17</WeldTime>
<DistDiff>1.62</DistDiff>
<DistAbs>44.18</DistAbs>
<Energy>1802.0</Energy>
<MaxPower>1762</MaxPower>
<CycleTime>4.51</CycleTime>
<TrigForce>637</TrigForce>
<TrigDist>42.56</TrigDist>
<RunSpeed>89</RunSpeed>
<MaxForce>1115</MaxForce>
<LossPower>42</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
0;0;628;0.00
2;0;633;0.00
4;0;637;0.01
6;0;641;0.01
8;0;646;0.01
10;0;650;0.02
12;0;655;0.02
14;0;659;0.02
16;0;664;0.03
18;0;668;0.03
20;0;672;0.03
22;0;675;0.04
24;22;677;0.07
26;52;679;0.12
28;105;681;0.21
30;210;683;0.33
32;375;685;0.47
34;585;687;0.60
36;780;691;0.68
38;930;695;0.72
40;1035;700;0.73
42;1087;705;0.73
44;1125;709;0.74
46;1140;713;0.75
48;1155;718;0.76
50;1170;722;0.76
52;1185;726;0.77
54;1192;731;0.77
56;1207;734;0.78
58;1215;738;0.79
60;1230;741;0.79
62;1237;744;0.80
64;1252;748;0.80
66;1275;751;0.81
68;1297;756;0.81
70;1305;760;0.82
72;1312;765;0.82
74;1327;770;0.83
76;1342;775;0.83
78;1365;780;0.84
80;1372;785;0.84
82;1372;791;0.85
84;1380;796;0.85
86;1387;801;0.86
88;1395;806;0.86
90;1410;811;0.87
92;1410;816;0.87
94;1410;820;0.88
96;1440;826;0.88
98;1432;831;0.88
100;1432;835;0.89
102;1425;840;0.89
104;1417;845;0.90
106;1440;850;0.90
108;1432;854;0.90
110;1432;858;0.91
112;1432;862;0.91
114;1432;866;0.92
116;1440;871;0.92
118;1425;875;0.92
120;1432;878;0.93
122;1432;882;0.93
124;1440;886;0.93
126;1440;890;0.94
128;1447;894;0.94
130;1440;898;0.95
132;1440;902;0.95
134;1432;906;0.95
136;1440;910;0.96
138;1417;913;0.96
140;1425;917;0.96
142;1432;921;0.97
144;1432;924;0.97
146;1432;928;0.97
148;1417;931;0.98
150;1432;934;0.98
152;1432;938;0.98
154;1432;941;0.99
156;1440;944;0.99
158;1440;948;0.99
160;1432;951;1.00
162;1432;954;1.00
164;1432;958;1.00
166;1447;961;1.01
168;1447;965;1.01
170;1447;968;1.01
172;1447;971;1.01
174;1447;974;1.02
176;1447;977;1.02
178;1462;980;1.02
180;1462;983;1.03
182;1455;986;1.03
184;1455;989;1.03
186;1462;991;1.04
188;1477;994;1.04
190;1477;997;1.04
192;1470;1000;1.04
194;1477;1003;1.05
196;1485;1005;1.05
198;1485;1008;1.05
200;1477;1010;1.06
202;1477;1013;1.06
204;1485;1016;1.06
206;1485;1018;1.06
208;1485;1021;1.07
210;1477;1024;1.07
212;1492;1026;1.07
214;1492;1028;1.08
216;1500;1030;1.08
218;1500;1033;1.08
220;1515;1035;1.08
222;1515;1037;1.09
224;1522;1040;1.09
226;1522;1042;1.09
228;1522;1044;1.09
230;1522;1046;1.10
232;1530;1048;1.10
234;1530;1050;1.10
236;1530;1052;1.10
238;1537;1054;1.11
240;1522;1056;1.11
242;1530;1058;1.11
244;1530;1060;1.11
246;1530;1061;1.12
248;1537;1063;1.12
250;1522;1065;1.12
252;1530;1066;1.12
254;1537;1068;1.13
256;1537;1070;1.13
258;1537;1071;1.13
260;1552;1073;1.13
262;1545;1074;1.14
264;1545;1076;1.14
266;1552;1078;1.14
268;1552;1079;1.14
270;1567;1080;1.15
272;1560;1082;1.15
274;1552;1083;1.15
276;1552;1084;1.15
278;1552;1086;1.15
280;1567;1087;1.16
282;1552;1087;1.16
284;1552;1089;1.16
286;1552;1090;1.16
288;1552;1091;1.17
290;1575;1092;1.17
292;1567;1093;1.17
294;1567;1094;1.17
296;1575;1095;1.17
298;1575;1096;1.18
300;1575;1097;1.18
302;1582;1098;1.18
306;1575;1099;1.18
310;1582;1100;1.19
314;1597;1101;1.19
318;1590;1103;1.20
322;1597;1104;1.20
326;1605;1105;1.20
330;1612;1106;1.21
334;1605;1107;1.21
338;1612;1107;1.22
342;1597;1109;1.22
346;1612;1109;1.22
350;1620;1109;1.23
354;1642;1110;1.23
358;1627;1110;1.24
362;1642;1110;1.24
366;1635;1111;1.24
370;1627;1111;1.25
374;1635;1112;1.25
378;1642;1113;1.25
382;1642;1113;1.26
386;1642;1113;1.26
390;1657;1113;1.26
394;1657;1114;1.27
398;1665;1114;1.27
402;1665;1114;1.27
406;1665;1114;1.28
410;1665;1114;1.28
414;1665;1114;1.28
418;1665;1114;1.28
422;1665;1114;1.29
426;1665;1113;1.29
430;1672;1113;1.29
434;1672;1112;1.30
438;1672;1112;1.30
442;1680;1112;1.30
446;1687;1112;1.30
450;1680;1111;1.31
454;1687;1111;1.31
458;1680;1111;1.31
462;1687;1110;1.32
466;1687;1110;1.32
470;1695;1110;1.32
474;1702;1109;1.32
478;1702;1109;1.33
482;1702;1108;1.33
486;1702;1108;1.33
490;1695;1108;1.33
494;1702;1108;1.34
498;1702;1107;1.34
502;1702;1106;1.34
506;1702;1106;1.34
510;1710;1106;1.35
514;1702;1105;1.35
518;1702;1105;1.35
522;1710;1105;1.35
526;1702;1105;1.36
530;1710;1104;1.36
534;1710;1104;1.36
538;1702;1103;1.36
542;1702;1103;1.37
546;1687;1103;1.37
550;1687;1103;1.37
554;1695;1103;1.37
558;1695;1103;1.38
562;1702;1102;1.38
566;1702;1102;1.38
570;1702;1102;1.38
574;1710;1101;1.38
578;1710;1101;1.39
582;1710;1101;1.39
586;1702;1101;1.39
590;1702;1100;1.39
594;1702;1100;1.40
598;1687;1100;1.40
602;1687;1100;1.40
606;1695;1100;1.40
610;1695;1100;1.40
614;1680;1099;1.41
618;1695;1099;1.41
622;1680;1099;1.41
626;1680;1100;1.41
630;1672;1100;1.41
634;1672;1100;1.42
638;1657;1099;1.42
642;1680;1099;1.42
646;1672;1099;1.42
650;1665;1099;1.42
654;1665;1099;1.43
658;1665;1099;1.43
662;1657;1099;1.43
666;1650;1099;1.43
670;1657;1099;1.43
674;1650;1099;1.43
678;1657;1099;1.44
682;1650;1099;1.44
686;1642;1099;1.44
690;1642;1099;1.44
694;1642;1099;1.44
698;1642;1099;1.44
702;1642;1099;1.45
706;1635;1098;1.45
710;1650;1098;1.45
714;1642;1098;1.45
718;1635;1098;1.45
722;1635;1098;1.45
726;1627;1098;1.45
730;1627;1097;1.46
734;1627;1097;1.46
738;1627;1097;1.46
742;1627;1097;1.46
746;1620;1097;1.46
750;1627;1097;1.46
754;1620;1097;1.47
758;1612;1097;1.47
762;1620;1097;1.47
766;1612;1096;1.47
770;1612;1096;1.47
774;1620;1096;1.47
778;1612;1096;1.47
782;1597;1096;1.48
786;1612;1096;1.48
790;1612;1096;1.48
794;1605;1095;1.48
798;1612;1095;1.48
802;1620;1095;1.48
812;1620;1095;1.49
822;1620;1095;1.49
832;1620;1094;1.49
842;1620;1094;1.50
852;1612;1093;1.50
862;1612;1093;1.50
872;1620;1092;1.51
882;1620;1092;1.51
892;1627;1091;1.51
902;1635;1091;1.52
912;1635;1091;1.52
922;1635;1090;1.53
932;1642;1089;1.53
942;1642;1088;1.53
952;1650;1089;1.54
962;1665;1088;1.54
972;1665;1087;1.54
982;1672;1087;1.55
992;1680;1086;1.55
1002;1687;1086;1.55
1012;1702;1085;1.56
1022;1702;1084;1.56
1032;1702;1084;1.57
1042;1710;1084;1.57
1052;1717;1083;1.57
1062;1725;1083;1.58
1072;1725;1082;1.58
1082;1725;1082;1.58
1092;1732;1082;1.59
1102;1747;1081;1.59
1112;1732;1081;1.60
1122;1740;1081;1.60
1132;1755;1080;1.60
1142;1755;1080;1.61
1152;1747;1079;1.61
1162;1747;1079;1.61
1172;1755;1079;1.62
1182;1762;1079;1.62
1192;0;1078;1.62
1202;0;1076;1.63
