Versuchsnr;Zugfestigkeit;Vorhersage
1679;2790,0;2772,7263029670976
2529;2727,721924;2673,879774872216
2475;2219,77002;2380,860121356886
1646;2720,0;2890,3242378974564
1750;2860,0;2836,889843137382
3013;2717,73999;2622,848478823269
1579;2590,0;2829,905995157841
2579;2525,796631;2687,657581743519
1647;2820,0;2841,4836664327195
2057;1930,0;1453,7210957254883
1624;2840,0;2880,2663518450627
1687;2780,0;2806,609430304971
1678;3050,0;2919,7374209737286
2498;2223,094727;2207,708611510786
2077;0,0;0,0
2963;2682,567383;2641,1181478151316
1599;2740,0;2791,3987006415477
2941;2301,888672;2465,0262410456317
1753;2800,0;2898,596067254925
1655;2850,0;2881,762939132653
1571;2770,0;2785,583236397056
2497;1768,345703;1713,0236113458434
2445;2276,501221;2190,3036473827096
2506;2085,11792;2236,7658911450517
2076;0,0;149,71316059647
2449;2219,936523;2434,946489825887
1641;2800,0;2896,97244086268
1704;2830,0;2862,4405814883116
2466;2252,674561;2264,106728010394
2547;2780,893066;2632,121913394002
2505;1479,522827;1461,8833875819316
1732;2880,0;2876,629564120489
1651;2850,0;2867,0568035193724
2986;2722,726563;2638,6826989225196
1761;2950,0;2906,213848735345
2563;2708,121338;2633,406575295585
1701;2860,0;2877,7341245904295
2425;2132,408691;2161,751165300903
2551;2367,425537;2568,1936968828513
3004;2663,979492;2588,265392725884
2072;365,0;496,5495367397391
1598;2850,0;2915,279344243896
2416;1980,088623;1948,3096406128593
2480;2252,667725;2292,1954397135632
1593;2850,0;2818,839919103962
1751;2820,0;2887,622896909033
2583;2578,3396;2645,9415321721845
1673;2870,0;2902,07426416691
1632;2770,0;2840,9843043039273
2600;2599,033936;2606,385656815036
2974;2667,585205;2547,9981820117073
2977;2805,790527;2669,8003186089604
1670;2990,0;2861,9815106602828
2465;2293,505615;2391,481776726576
2501;2093,90332;2081,5925708911363
2064;0,0;52,5314780679661
2938;2777,969238;2619,199995573876
1734;2930,0;2883,5380617204546
1706;2920,0;2877,8196568216827
1764;2900,0;2902,72920452372
1645;2750,0;2881,9157764002166
1745;2850,0;2884,08246173972
2037;0,0;0,0
2446;1884,914795;1880,9768755905664
2458;1597,83252;1753,2842865297594
1639;2810,0;2801,549557366979
2471;1604,51001;1632,330418041637
2499;2248,231445;2323,231238618942
1650;2790,0;2780,644699382716
2024;364,0;18,81934526934026
2012;553,0;439,0632708108096
1575;2900,0;2866,3421541747566
2533;2627,212891;2693,3210542425
2082;0,0;0,0
2539;2729,606201;2633,8912155400435
2447;1943,393555;1931,2580616486027
2020;0,0;0,0
2967;2607,081787;2582,2982360875353
2469;2141,172852;2161,5693261381252
2542;2641,597168;2527,6752283899923
3015;2565,611816;2649,904854367986
2536;2696,556152;2654,9615549499035
2508;2406,469482;2378,2275478119714
2069;0,0;38,80012371303676
1642;2810,0;2865,1569074049344
1608;2870,0;2863,354161196622
1724;2960,0;2829,89009996221
2947;2508,520996;2572,771986849699
2078;125,0;102,93296004372753
2939;2558,9646;2487,606919086272
2964;2627,864746;2619,7451669631955
2456;1688,80957;1718,9124696293843
1629;2600,0;2620,880635406007
2008;193,0;469,2656244471077
2988;2768,966797;2634,0451006515023
3009;2574,790039;2403,2090533784153
2957;2759,019531;2689,656589349323
1580;2760,0;2755,854888556183
2522;2704,77832;2714,2329353999953
1652;2750,0;2830,337171768829
1659;2860,0;2784,6021708659205
2937;2730,0354;2633,627290604306
2448;2177,299805;2186,0961903938587
2043;0,0;112,22355284193274
1648;2860,0;2878,81870025424
2544;2670,678955;2630,8919744501795
1709;2840,0;2830,8160196253707
3010;2663,703369;2581,318968038627
2997;2656,869873;2705,843017176545
2524;2693,313965;2659,022470495206
1768;3040,0;2827,575127140659
2574;2598,691895;2588,1061176829216
2485;2358,209961;2289,683906866355
2494;2086,850342;2170,8444756041954
2079;0,0;66,68795877082123
2107;0,0;0,0
2048;384,0;301,9328006058192
1717;2850,0;2819,2855425521484
2604;2652,192627;2621,504192965731
2549;2856,765625;2719,636403478891
