<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-09-26-13:49:58</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1613</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1530</WeldTime>
<DistDiff>2.39</DistDiff>
<DistAbs>78.55</DistAbs>
<Energy>3272.08</Energy>
<MaxPower>2334.51</MaxPower>
<CycleTime>5700</CycleTime>
<TrigForce>502.701</TrigForce>
<TrigDist>76.16</TrigDist>
<RunSpeed>70</RunSpeed>
<MaxForce>591.571</MaxForce>
<LossPower>208.594</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;502.701;0
4;0;502.701;0
5;0;500.748;0
6;0;502.701;0
7;0;502.701;0
8;0;480.972;0
9;1.06815;417.737;0.00999451
10;72.7866;405.774;0.0399933
11;109.714;374.279;0.0699997
12;151.83;354.503;0.109993
13;218.36;336.68;0.159996
14;292.52;326.914;0.199997
15;371.563;319.102;0.25
16;435.652;297.372;0.309998
17;489.975;289.315;0.359993
18;551.622;277.596;0.409996
19;611.133;311.045;0.449997
20;662.709;299.326;0.489998
21;719.779;291.269;0.529999
22;788.751;323.008;0.57
23;862.911;314.951;0.599998
24;934.324;324.961;0.629997
25;998.718;319.102;0.649994
26;1060.37;342.784;0.679993
27;1102.48;344.737;0.699997
28;1154.06;368.419;0.709999
29;1228.22;358.409;0.729996
30;1287.42;364.513;0.739998
31;1339.3;392.102;0.739998
32;1378.98;380.139;0.75
33;1401.26;390.149;0.759995
34;1406.14;396.008;0.759995
35;1433.3;415.784;0.759995
36;1475.11;384.045;0.769997
37;1507.16;399.915;0.779999
38;1534.32;382.092;0.779999
39;1551.71;415.784;0.789993
40;1546.83;413.831;0.799995
41;1546.83;394.055;0.799995
42;1593.83;421.644;0.809998
43;1638.08;417.737;0.82
44;1655.48;419.691;0.82
45;1685.08;399.915;0.829994
46;1704.92;439.467;0.829994
47;1704.92;427.503;0.839996
48;1707.36;453.383;0.849998
49;1759.24;419.691;0.849998
50;1811.12;423.597;0.859993
51;1848.05;447.279;0.869995
52;1870.33;421.644;0.869995
53;1875.21;431.654;0.879997
