<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-10-14:31:06</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1788</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1073</WeldTime>
<DistDiff>1.94</DistDiff>
<DistAbs>77.94</DistAbs>
<Energy>3271.19</Energy>
<MaxPower>3535.26</MaxPower>
<CycleTime>5170</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76</TrigDist>
<RunSpeed>70.2403</RunSpeed>
<MaxForce>619.16</MaxForce>
<LossPower>210.273</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;500.748;0
4;0;500.748;0
5;0;500.748;0
6;0;504.654;0
7;0;500.748;0.0100021
8;0;482.925;0.0100021
9;0;427.503;0.0199966
10;56.1541;419.691;0.0400009
11;98.2696;376.232;0.0800018
12;135.197;368.419;0.120003
13;187.078;340.831;0.160004
14;256.355;338.633;0.209999
15;330.21;309.091;0.269997
16;394.604;307.138;0.32
17;448.927;291.269;0.370003
18;505.692;314.951;0.419998
19;562.456;309.091;0.470001
20;616.779;303.232;0.510002
21;680.868;330.821;0.550003
22;752.586;328.867;0.589996
23;816.675;336.68;0.620003
24;881.069;332.774;0.650002
25;942.717;370.373;0.669998
26;994.598;362.56;0.690002
27;1044.04;394.055;0.699997
28;1117.89;368.419;0.720001
29;1182.29;390.149;0.730003
30;1231.42;413.831;0.739998
31;1275.98;396.008;0.739998
32;1300.7;413.831;0.75
33;1312.91;411.878;0.75
34;1330.3;433.607;0.75
35;1369.67;405.774;0.760002
36;1402.02;421.644;0.760002
37;1429.18;401.868;0.769997
38;1453.9;449.232;0.769997
39;1456.34;431.654;0.779999
40;1458.78;415.784;0.790001
41;1495.71;443.373;0.790001
42;1545.15;431.654;0.800003
43;1577.2;437.513;0.809998
44;1609.24;423.597;0.809998
45;1629.08;449.232;0.82
46;1631.52;437.513;0.82
47;1644.03;463.149;0.830002
48;1700.8;413.831;0.839996
49;1747.49;439.467;0.839996
50;1782.28;457.289;0.849998
51;1809.44;427.503;0.860001
52;1811.88;445.326;0.870003
53;1801.81;443.373;0.879997
