<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-10-13-11:32:08</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>1840</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1154</WeldTime>
<DistDiff>2.11</DistDiff>
<DistAbs>78.07</DistAbs>
<Energy>3270.62</Energy>
<MaxPower>3172.7</MaxPower>
<CycleTime>5240</CycleTime>
<TrigForce>508.56</TrigForce>
<TrigDist>75.96</TrigDist>
<RunSpeed>70.3333</RunSpeed>
<MaxForce>619.16</MaxForce>
<LossPower>209.967</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;510.514;0
3;0;512.467;0
4;0;510.514;0
5;0;510.514;0
6;0;512.467;0
7;0;506.607;0
8;0;488.784;0
9;0;429.456;0.0200043
10;49.1348;417.737;0.0400009
11;91.2503;370.373;0.0800018
12;123.295;370.373;0.120003
13;172.735;340.831;0.169998
14;244.148;332.774;0.220001
15;323.191;324.961;0.270004
16;387.28;309.091;0.330002
17;441.603;299.326;0.379997
18;498.367;297.372;0.43
19;557.878;303.232;0.480003
20;617.084;314.951;0.520004
21;676.29;321.055;0.559998
22;755.333;311.045;0.599998
23;829.493;332.774;0.639999
24;893.582;336.68;0.669998
25;962.859;338.633;0.690002
26;1017.18;356.456;0.709999
27;1063.88;374.279;0.730003
28;1123.08;382.092;0.75
29;1185.03;388.195;0.760002
30;1234.17;386.242;0.760002
31;1278.73;407.971;0.770004
32;1305.89;427.503;0.770004
33;1310.77;413.831;0.770004
34;1323.28;425.55;0.779999
35;1369.98;435.56;0.779999
36;1404.77;429.456;0.779999
37;1434.37;425.55;0.790001
38;1463.97;429.456;0.790001
39;1481.37;437.513;0.800003
40;1491.13;447.279;0.800003
41;1520.74;449.232;0.809998
42;1579.94;425.55;0.809998
43;1619.62;451.186;0.82
44;1651.66;445.326;0.82
45;1671.5;437.513;0.830002
46;1671.5;445.326;0.830002
47;1668.75;459.243;0.840004
48;1691.03;455.336;0.840004
49;1730.7;445.326;0.849998
50;1757.87;437.513;0.849998
51;1777.4;449.232;0.860001
52;1780.14;469.008;0.870003
53;1765.19;445.326;0.870003
54;1765.19;461.196;0.879997
55;1814.63;469.008;0.889999
56;1856.44;463.149;0.900002
57;1881.16;453.383;0.900002
58;1903.44;467.055;0.910004
59;1905.88;475.112;0.919998
60;1896.11;490.738;0.919998
61;1918.39;479.019;0.93
62;1980.04;463.149;0.940002
63;2016.97;492.691;0.940002
64;2041.69;477.065;0.950005
65;2051.45;479.019;0.950005
66;2034.36;482.925;0.959999
67;2012.09;500.748;0.959999
68;2031.92;498.795;0.970001
69;2066.41;475.112;0.970001
70;2086.25;482.925;0.980003
71;2098.45;475.112;0.980003
72;2081.36;520.524;0.980003
73;2051.45;492.691;0.989998
74;2036.81;488.784;0.989998
75;2083.8;520.524;1
76;2123.17;498.795;1
77;2145.45;490.738;1.01
78;2152.78;494.644;1.01
79;2143.01;510.514;1.02
80;2120.73;512.467;1.02
81;2138.13;524.43;1.02
82;2202.22;480.972;1.03
83;2239.14;514.42;1.03
84;2261.42;514.42;1.04
85;2258.98;492.691;1.04
86;2236.7;510.514;1.05
87;2207.1;522.477;1.05
88;2226.94;520.524;1.05
89;2268.75;504.654;1.06
90;2286.14;500.748;1.06
91;2293.47;506.607;1.07
92;2273.93;538.102;1.07
93;2234.26;508.56;1.07
94;2219.61;516.373;1.08
95;2268.75;534.196;1.08
96;2308.42;518.326;1.08
97;2330.7;508.56;1.09
98;2335.58;520.524;1.09
99;2315.74;528.336;1.09
100;2288.58;538.102;1.1
101;2308.42;530.29;1.1
102;2367.63;502.701;1.1
103;2402.11;536.149;1.1
104;2421.95;524.43;1.11
105;2417.07;512.467;1.11
106;2385.02;522.477;1.11
107;2350.23;540.056;1.12
108;2370.07;530.29;1.12
109;2404.55;518.326;1.12
110;2421.95;506.607;1.13
111;2426.83;524.43;1.13
112;2399.67;544.206;1.13
113;2355.42;512.467;1.14
114;2338.02;530.29;1.14
115;2387.46;538.102;1.14
116;2424.39;530.29;1.15
117;2441.79;512.467;1.15
118;2449.11;532.243;1.15
119;2424.39;536.149;1.15
120;2392.35;555.925;1.16
121;2409.74;532.243;1.16
122;2471.39;518.326;1.16
123;2505.87;548.112;1.16
124;2520.83;528.336;1.17
125;2518.39;526.383;1.17
126;2481.15;532.243;1.17
127;2444.23;552.019;1.17
128;2466.51;534.196;1.17
129;2500.99;530.29;1.18
130;2513.2;508.56;1.18
131;2518.39;520.524;1.18
132;2488.48;565.935;1.18
133;2439.34;532.243;1.19
134;2421.95;528.336;1.19
135;2468.95;563.738;1.19
136;2503.43;536.149;1.19
137;2523.27;526.383;1.2
138;2525.71;530.29;1.2
139;2498.55;548.112;1.2
140;2464.06;550.066;1.2
141;2488.48;555.925;1.21
142;2542.8;514.42;1.21
143;2575.15;548.112;1.21
144;2592.24;544.206;1.21
145;2589.8;522.477;1.21
146;2552.87;540.056;1.22
147;2513.2;553.972;1.22
148;2537.92;550.066;1.22
149;2569.96;528.336;1.22
150;2587.36;526.383;1.22
151;2592.24;532.243;1.23
152;2555.31;565.935;1.23
153;2503.43;532.243;1.23
154;2488.48;540.056;1.23
155;2537.92;561.785;1.23
156;2569.96;542.009;1.24
157;2587.36;528.336;1.24
158;2589.8;542.009;1.24
159;2560.2;552.019;1.24
160;2525.71;563.738;1.24
161;2547.99;555.925;1.25
162;2607.2;524.43;1.25
163;2636.8;557.878;1.25
164;2656.64;546.159;1.25
165;2646.57;534.196;1.25
166;2602.31;548.112;1.26
167;2569.96;563.738;1.26
168;2587.36;552.019;1.26
169;2621.85;540.056;1.26
170;2636.8;526.383;1.26
171;2636.8;548.112;1.26
172;2604.75;565.935;1.27
173;2550.43;532.243;1.27
174;2535.48;553.972;1.27
175;2584.92;559.832;1.27
176;2616.96;550.066;1.27
