<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-11-29-13:20:55</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2287</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1875</WeldTime>
<DistDiff>2.87</DistDiff>
<DistAbs>79</DistAbs>
<Energy>3271.86</Energy>
<MaxPower>1982.77</MaxPower>
<CycleTime>6040</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>76.13</TrigDist>
<RunSpeed>69.7161</RunSpeed>
<MaxForce>599.384</MaxForce>
<LossPower>241.726</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;500.748;0
3;0;502.701;0
4;0;500.748;0
5;0;506.607;0
6;0;502.701;0
7;0;504.654;0
8;0;492.691;0
9;0;431.654;0.0200043
10;34.772;413.831;0.0400009
11;71.6994;382.092;0.0699997
12;106.185;360.363;0.110001
13;165.391;340.831;0.150002
14;244.434;321.055;0.190002
15;313.711;321.055;0.230003
16;368.034;305.185;0.260002
17;422.357;309.091;0.300003
18;491.329;271.737;0.340004
19;550.84;291.269;0.380005
20;612.487;305.185;0.410004
21;669.252;281.503;0.440002
22;721.133;301.279;0.480003
23;770.573;307.138;0.5
24;829.779;326.914;0.530006
25;896.31;312.998;0.550003
26;960.704;330.821;0.57
27;1012.59;323.008;0.590004
28;1059.28;374.279;0.600006
29;1081.56;366.466;0.620003
30;1111.16;358.409;0.630005
31;1172.81;399.915;0.630005
32;1222.25;390.149;0.639999
33;1261.92;397.961;0.650002
34;1298.85;386.242;0.650002
35;1323.57;419.691;0.660004
36;1330.89;403.821;0.660004
37;1358.05;431.654;0.670006
38;1417.26;382.092;0.68
39;1456.93;403.821;0.68
40;1486.54;423.597;0.690002
41;1513.7;386.242;0.700005
42;1513.7;409.925;0.709999
43;1503.93;407.971;0.720001
44;1521.02;425.55;0.730003
45;1558.26;399.915;0.730003
46;1575.35;407.971;0.740005
47;1595.18;390.149;0.75
48;1592.74;441.42;0.760002
49;1582.67;413.831;0.770004
50;1570.46;397.961;0.780006
51;1612.58;441.42;0.790001
52;1649.51;415.784;0.800003
53;1671.78;417.737;0.810005
54;1691.32;407.971;0.82
55;1694.06;433.607;0.830002
56;1683.99;427.503;0.840004
57;1701.39;453.383;0.850006
58;1758.15;403.821;0.850006
59;1792.64;433.607;0.860001
60;1817.36;455.336;0.870003
61;1824.68;423.597;0.880005
62;1810.03;437.513;0.889999
63;1785.31;439.467;0.889999
64;1797.52;463.149;0.900002
65;1832.31;427.503;0.910004
66;1842.08;447.279;0.910004
67;1851.84;425.55;0.920006
68;1842.08;472.915;0.920006
69;1810.03;461.196;0.93
70;1785.31;437.513;0.940002
71;1827.12;477.065;0.940002
72;1854.29;463.149;0.950005
73;1871.68;467.055;0.950005
74;1879.01;443.373;0.959999
75;1869.24;486.831;0.959999
76;1844.52;467.055;0.970001
77;1849.4;496.597;0.980003
78;1898.84;447.279;0.980003
79;1930.89;467.055;0.990005
80;1940.96;490.738;0.990005
81;1938.21;455.336;1
82;1913.8;475.112;1
83;1881.45;470.962;1.01
84;1883.89;494.644;1.01
85;1908.61;459.243;1.02
86;1916.24;479.019;1.02
87;1916.24;453.383;1.03001
88;1893.96;516.373;1.03001
