<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2023-12-06-09:18:55</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2439</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1734</WeldTime>
<DistDiff>3.62</DistDiff>
<DistAbs>78.1</DistAbs>
<Energy>3271.18</Energy>
<MaxPower>2308.42</MaxPower>
<CycleTime>6040</CycleTime>
<TrigForce>504.654</TrigForce>
<TrigDist>74.48</TrigDist>
<RunSpeed>68.393</RunSpeed>
<MaxForce>597.43</MaxForce>
<LossPower>0</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;106.204;502.701;0.00999451
3;108.646;504.654;0.00999451
4;106.204;504.654;0.00999451
5;108.646;504.654;0.00999451
6;108.646;504.654;0.00999451
7;103.763;504.654;0.00999451
8;103.763;496.597;0.00999451
9;130.619;480.972;0.0199966
10;138.249;472.915;0.0299988
11;88.8089;459.243;0.0399933
12;143.132;457.289;0.0499954
13;256.661;451.186;0.0599976
14;303.659;443.373;0.0699997
15;296.03;437.513;0.0799942
16;293.588;433.607;0.0899963
17;318.308;429.456;0.109993
18;367.748;429.456;0.119995
19;417.188;421.644;0.129997
20;441.908;421.644;0.139999
21;449.232;429.456;0.149994
22;446.791;421.644;0.169998
23;454.115;421.644;0.18
24;471.511;429.456;0.189995
25;488.601;421.644;0.199997
26;505.997;425.55;0.209999
27;515.763;429.456;0.219994
28;530.717;429.456;0.229996
29;542.924;435.56;0.239998
30;560.32;437.513;0.25
31;585.04;423.597;0.25
32;604.877;433.607;0.259995
33;627.155;433.607;0.269997
34;646.687;427.503;0.279999
35;659.2;427.503;0.289993
36;673.849;429.456;0.309998
37;688.803;427.503;0.32
38;708.335;427.503;0.329994
39;725.73;419.691;0.339996
40;738.243;427.503;0.349998
41;745.567;435.56;0.359993
42;748.009;425.55;0.369995
43;748.009;431.654;0.379997
44;760.216;435.56;0.389999
45;772.729;431.654;0.399994
46;780.053;429.456;0.409996
47;782.495;437.513;0.419998
48;784.936;435.56;0.43
49;780.053;445.326;0.439995
50;784.936;437.513;0.449997
51;802.332;431.654;0.459999
52;812.098;443.373;0.469994
53;814.539;437.513;0.479996
54;816.98;433.607;0.489998
55;809.656;439.467;0.5
56;795.007;443.373;0.509995
57;792.566;437.513;0.509995
58;789.819;443.373;0.519997
59;784.936;437.513;0.529999
60;777.612;443.373;0.539993
61;770.287;453.383;0.549995
62;757.775;445.326;0.559998
63;752.892;451.186;0.57
64;760.216;457.289;0.57
65;762.658;453.383;0.579994
66;767.846;451.186;0.589996
67;765.404;463.149;0.599998
68;760.216;461.196;0.609993
69;757.775;470.962;0.619995
70;767.846;472.915;0.619995
71;780.053;449.232;0.629997
72;787.378;463.149;0.639999
73;787.378;470.962;0.649994
74;787.378;455.336;0.659996
75;782.495;465.102;0.659996
76;777.612;465.102;0.669998
77;777.612;475.112;0.68
78;780.053;465.102;0.689995
79;780.053;469.008;0.699997
80;780.053;461.196;0.699997
81;772.729;482.925;0.709999
82;765.404;475.112;0.719994
83;762.658;469.008;0.719994
84;770.287;484.878;0.729996
85;775.17;475.112;0.739998
86;780.053;477.065;0.75
87;780.053;470.962;0.75
88;775.17;477.065;0.759995
89;775.17;479.019;0.769997
90;784.936;490.738;0.769997
91;797.449;469.008;0.779999
92;804.773;480.972;0.789993
93;807.215;488.784;0.789993
94;804.773;475.112;0.799995
95;799.89;486.831;0.809998
96;795.007;484.878;0.809998
97;795.007;494.644;0.82
98;792.566;482.925;0.829994
99;795.007;484.878;0.829994
100;789.819;479.019;0.839996
101;782.495;498.795;0.849998
102;770.287;490.738;0.849998
103;765.404;484.878;0.859993
104;772.729;500.748;0.859993
105;775.17;490.738;0.869995
106;772.729;494.644;0.879997
107;770.287;488.784;0.879997
108;767.846;494.644;0.889999
109;762.658;496.597;0.889999
110;772.729;506.607;0.899994
111;784.936;486.831;0.909996
112;792.566;498.795;0.909996
113;797.449;500.748;0.919998
114;795.007;492.691;0.919998
115;792.566;498.795;0.93
116;787.378;496.597;0.93
117;787.378;504.654;0.939995
118;792.566;496.597;0.939995
119;792.566;500.748;0.949997
120;789.819;490.738;0.949997
121;787.378;510.514;0.959999
122;777.612;504.654;0.959999
123;775.17;498.795;0.969994
124;782.495;508.56;0.979996
125;789.819;500.748;0.979996
126;792.566;504.654;0.989998
127;789.819;498.795;0.989998
128;789.819;504.654;1
129;787.378;508.56;1
130;795.007;514.42;1.00999
131;809.656;494.644;1.00999
132;816.98;504.654;1.02
133;819.727;510.514;1.02
134;816.98;500.748;1.03
135;812.098;506.607;1.03
136;804.773;506.607;1.03999
137;802.332;510.514;1.03999
138;802.332;504.654;1.05
139;802.332;504.654;1.05
140;797.449;502.701;1.06
141;792.566;516.373;1.06
142;782.495;508.56;1.07
143;775.17;506.607;1.07
144;782.495;516.373;1.07
145;787.378;508.56;1.07999
146;789.819;508.56;1.07999
147;789.819;506.607;1.09
148;789.819;514.42;1.09
