<WeldAnalyseData xmlns:i="http:www.w3.org/2001/XMLSchema-instance">
<WeldParameter>
<TimeStamp>DT#2024-01-24-14:58:21</TimeStamp>
<Generator>SG-22-10000</Generator>
<GenFreq>20</GenFreq>
<MaxForce>8000</MaxForce>
<MaxPower>10000</MaxPower>
<RunupPressure>1.5</RunupPressure>
<RunupDist>10</RunupDist>
<RunPress>0.8</RunPress>
<ShakeDelay>0.03</ShakeDelay>
<ShakeTime>0.3</ShakeTime>
<RunBackPress1>6</RunBackPress1>
<RunBackPress2>2</RunBackPress2>
<RunBackDist>1</RunBackDist>
<TrigValue>500</TrigValue>
<TrigModeUnit>W</TrigModeUnit>
<WeldModeUnit>Ws</WeldModeUnit>
<PressNr>0</PressNr>
<MaxLoss>1500</MaxLoss>
</WeldParameter>
<WeldSets>
<WeldSet>
<PressRiseTime>0</PressRiseTime>
<RunPressure>1</RunPressure>
<Amplitude>86</Amplitude>
<WeldMode>3270</WeldMode>
</WeldSet>
</WeldSets>
<WeldValue>
<WeldNr>2970</WeldNr>
<RecipeName>RickStyle</RecipeName>
<WeldTime>1682</WeldTime>
<DistDiff>2.41</DistDiff>
<DistAbs>78.12</DistAbs>
<Energy>3272</Energy>
<MaxPower>2158.92</MaxPower>
<CycleTime>6030</CycleTime>
<TrigForce>500.748</TrigForce>
<TrigDist>75.71</TrigDist>
<RunSpeed>68.9526</RunSpeed>
<MaxForce>621.113</MaxForce>
<LossPower>324.984</LossPower>
</WeldValue>
</WeldAnalyseData>
#CSV-START#
ms;Power[W];Force[N];Distance[mm]
1;0;0;0
2;0;502.701;0
3;0;502.701;0
4;0;502.701;0.0100021
5;0;502.701;0.0100021
6;0;504.654;0.0100021
7;0;504.654;0.0100021
8;0;477.065;0.0100021
9;0;419.691;0.0200043
10;0;407.971;0.0400009
11;0;370.373;0.0800018
12;20.4855;346.69;0.110001
13;79.6915;342.784;0.150002
14;153.851;321.055;0.190002
15;228.011;307.138;0.239998
16;292.1;289.315;0.279999
17;351.306;289.315;0.330002
18;410.512;287.362;0.379997
19;479.789;301.279;0.43
20;556.391;281.503;0.470001
21;632.992;299.326;0.510002
22;699.522;317.148;0.540001
23;768.799;289.315;0.580002
24;828.005;319.102;0.599998
25;884.77;319.102;0.629997
26;946.417;336.68;0.650002
27;1010.81;334.727;0.669998
28;1070.02;352.55;0.68
29;1121.9;348.643;0.690002
30;1161.27;397.961;0.700005
31;1176.22;392.102;0.709999
32;1200.64;372.326;0.709999
33;1252.52;421.644;0.720001
34;1297.07;409.925;0.720001
35;1331.56;411.878;0.730003
36;1366.35;399.915;0.730003
37;1388.33;421.644;0.739998
38;1395.95;417.737;0.739998
39;1425.56;439.467;0.75
40;1482.32;399.915;0.75
41;1524.13;419.691;0.760002
42;1556.48;451.186;0.760002
43;1580.9;399.915;0.770004
44;1578.46;421.644;0.770004
45;1571.13;419.691;0.779999
46;1593.41;433.607;0.779999
47;1637.97;419.691;0.790001
48;1667.57;431.654;0.800003
49;1689.54;411.878;0.800003
50;1694.73;459.243;0.809998
51;1682.22;435.56;0.82
52;1679.78;407.971;0.82
53;1729.22;467.055;0.830002
